
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
8/5/2022 9:59:16 AM;;;;;;;
8/5/2022 9:59:33 AM;0;1;lm5front;lm1(RoofPiece_A);(0.145, 0.000, -0.989);(0.758, 0.000, -0.652);41.003
8/5/2022 9:59:35 AM;1;2;lm5front;lm2(Barn);(0.013, 0.000, -1.000);(0.516, 0.000, -0.855);30.369
8/5/2022 9:59:39 AM;2;3;lm5front;lm3(Car);(0.470, 0.000, -0.882);(0.833, 0.000, -0.542);28.953
8/5/2022 9:59:43 AM;3;4;lm5front;lm4(Fcapsule);(0.905, 0.000, -0.426);(0.410, 0.000, -0.906);40.441
8/5/2022 9:59:46 AM;4;5;lm5front;lm6(Struct_Pavilion_B);(-0.580, 0.000, -0.814);(-0.498, 0.000, -0.851);5.166
8/5/2022 9:59:58 AM;5;7;lm4front;lm1(RoofPiece_A);(-0.134, 0.000, -0.991);(0.155, 0.000, -0.988);16.651
8/5/2022 9:59:59 AM;6;8;lm4front;lm2(Barn);(-0.291, 0.000, -0.957);(-0.052, 0.000, -0.998);13.948
8/5/2022 10:00:01 AM;7;9;lm4front;lm3(Car);(-0.096, 0.000, -0.994);(-0.280, 0.000, -0.960);10.738
8/5/2022 10:00:06 AM;8;10;lm4front;lm5(CobbleRock_E);(-0.936, 0.000, 0.350);(-0.807, 0.000, 0.588);15.588
8/5/2022 10:00:08 AM;9;11;lm4front;lm6(Struct_Pavilion_B);(-0.909, 0.000, -0.416);(-0.977, 0.000, 0.180);35.064
8/5/2022 10:00:30 AM;10;13;lm3front;lm1(RoofPiece_A);(-0.127, 0.000, -0.992);(-0.187, 0.000, -0.981);3.484
8/5/2022 10:00:31 AM;11;14;lm3front;lm2(Barn);(-0.369, 0.000, -0.929);(-0.706, 0.000, -0.705);23.375
8/5/2022 10:00:42 AM;12;15;lm3front;lm4(Fcapsule);(0.107, 0.000, 0.994);(0.412, 0.000, 0.909);18.257
8/5/2022 10:00:42 AM;13;16;lm3front;lm5(CobbleRock_E);(-0.489, 0.000, 0.872);(0.674, 0.000, 0.738);71.687
8/5/2022 10:00:44 AM;14;17;lm3front;lm6(Struct_Pavilion_B);(-0.989, 0.000, 0.146);(-0.438, 0.000, 0.894);55.487
8/5/2022 10:00:52 AM;15;19;lm6front;lm1(RoofPiece_A);(0.518, 0.000, -0.855);(0.881, 0.000, -0.471);30.718
8/5/2022 10:00:52 AM;16;20;lm6front;lm2(Barn);(0.393, 0.000, -0.920);(0.766, 0.000, -0.634);27.290
8/5/2022 10:00:56 AM;17;21;lm6front;lm3(Car);(0.985, 0.000, -0.165);(0.985, 0.000, 0.109);15.851
8/5/2022 10:01:00 AM;18;22;lm6front;lm4(Fcapsule);(0.898, 0.000, 0.440);(0.888, 0.000, 0.433);0.122
8/5/2022 10:01:02 AM;19;23;lm6front;lm5(CobbleRock_E);(0.553, 0.000, 0.833);(0.458, 0.000, 0.879);6.080
8/5/2022 10:01:08 AM;20;25;lm2front;lm1(RoofPiece_A);(0.951, 0.000, -0.298);(0.965, 0.000, -0.244);3.212
8/5/2022 10:01:11 AM;21;26;lm2front;lm3(Car);(0.421, 0.000, 0.906);(0.654, 0.000, 0.755);15.977
8/5/2022 10:01:13 AM;22;27;lm2front;lm4(Fcapsule);(0.294, 0.000, 0.956);(0.232, 0.000, 0.973);3.687
8/5/2022 10:01:14 AM;23;28;lm2front;lm5(CobbleRock_E);(-0.010, 0.000, 1.000);(-0.227, 0.000, 0.974);12.532
8/5/2022 10:01:16 AM;24;29;lm2front;lm6(Struct_Pavilion_B);(-0.395, 0.000, 0.919);(-0.944, 0.000, 0.307);48.723
8/5/2022 10:01:26 AM;25;31;lm1front;lm2(Barn);(-0.902, 0.000, 0.423);(-0.943, 0.000, 0.330);5.856
8/5/2022 10:01:28 AM;26;32;lm1front;lm3(Car);(0.151, 0.000, 0.988);(0.107, 0.000, 0.992);2.544
8/5/2022 10:01:29 AM;27;33;lm1front;lm4(Fcapsule);(0.118, 0.000, 0.993);(0.253, 0.000, 0.966);7.938
8/5/2022 10:01:30 AM;28;34;lm1front;lm5(CobbleRock_E);(-0.158, 0.000, 0.987);(-0.067, 0.000, 0.997);5.270
8/5/2022 10:01:32 AM;29;35;lm1front;lm6(Struct_Pavilion_B);(-0.526, 0.000, 0.850);(-0.946, 0.000, 0.307);40.253
